observed	prediction	iterations
Control	0.832	1
Control	0.996	1
Control	1	1
Control	0.984	1
Control	0.988	1
Control	0.99	1
Control	0.994	1
Control	0.98	1
Control	0.886	1
Control	0.98	1
Control	0.976	1
Control	0.93	1
Control	0.798	1
Control	0.982	1
Case	0.938	1
Control	0.996	1
Control	0.996	1
Control	1	1
Control	0.996	1
Control	0.874	1
Control	0.98	1
Control	0.962	1
Control	0.964	1
Control	0.998	1
Control	0.984	1
Control	0.91	1
Control	0.996	1
Control	1	1
Control	0.94	1
Control	0.874	1
Control	0.978	1
Control	0.898	1
Control	0.996	1
Control	0.754	1
Control	0.994	1
Control	0.926	1
Control	0.996	1
Control	0.82	1
Control	0.97	1
Control	1	1
Case	0.854	1
Control	0.934	1
Control	0.942	1
Control	0.808	1
Control	0.998	1
Control	0.944	1
Control	0.944	1
Control	0.998	1
Control	0.872	1
Control	0.992	1
Control	0.976	1
Control	0.996	1
Control	0.826	1
Control	0.998	1
Control	0.944	1
Control	0.996	1
Control	1	1
Control	0.992	1
Control	0.996	1
Control	0.996	1
Control	0.836	1
Case	0.968	1
Control	0.996	1
Control	0.988	1
Control	0.846	1
Control	0.996	1
Control	0.99	1
Control	0.994	1
Control	0.992	1
Control	0.98	1
Control	0.99	1
Control	0.984	1
Control	0.898	1
Control	0.96	1
Control	0.928	1
Control	0.836	1
Control	0.974	1
Control	0.804	1
Control	0.992	1
Control	0.998	1
Control	0.998	1
Control	0.992	1
Control	0.992	1
Control	1	1
Control	0.908	1
Control	0.978	1
Control	0.96	1
Control	0.982	1
Control	0.87	1
Control	0.922	1
Control	0.498	1
Control	0.968	1
Control	0.998	1
Control	0.946	1
Control	0.958	1
Control	0.99	1
Control	0.978	1
Control	0.986	1
Control	0.98	1
Control	0.728	1
Control	0.962	1
Control	1	1
Control	0.994	1
Control	0.752	1
Control	1	1
Control	0.976	1
Control	0.88	1
Control	0.998	1
Control	0.976	1
Control	0.99	1
Control	0.998	1
Control	0.996	1
Control	0.858	1
Control	0.974	1
Control	0.804	1
Control	0.952	1
Control	0.918	1
Control	0.962	1
Case	0.996	1
Control	0.986	1
Control	0.98	1
Control	0.986	1
Control	0.966	1
Control	0.962	1
Control	0.89	1
Control	0.96	1
Control	0.986	1
Control	0.93	1
Control	0.966	1
Control	0.994	1
Control	0.882	1
Control	0.95	1
Control	0.748	1
Control	0.98	1
Control	0.94	1
Control	0.832	1
Control	1	1
Control	0.942	1
Control	0.992	1
Case	0.97	1
Control	0.982	1
Case	0.972	1
Control	0.99	1
Control	0.99	2
Control	0.99	2
Control	0.998	2
Case	0.99	2
Control	0.98	2
Control	1	2
Control	0.996	2
Control	1	2
Control	1	2
Control	0.964	2
Control	0.768	2
Control	0.988	2
Control	0.99	2
Control	0.97	2
Control	0.982	2
Control	0.904	2
Control	0.644	2
Control	0.992	2
Control	0.898	2
Control	0.964	2
Control	0.696	2
Control	1	2
Control	0.992	2
Control	0.974	2
Control	0.896	2
Control	0.97	2
Control	0.994	2
Control	1	2
Control	0.994	2
Control	0.992	2
Control	1	2
Control	0.928	2
Control	0.928	2
Control	0.898	2
Control	0.838	2
Control	0.882	2
Control	0.824	2
Control	0.99	2
Control	0.966	2
Control	0.958	2
Control	0.902	2
Control	1	2
Control	1	2
Control	0.994	2
Control	0.998	2
Control	0.952	2
Control	0.958	2
Control	0.818	2
Control	1	2
Control	0.998	2
Control	1	2
Control	0.768	2
Control	0.91	2
Control	0.998	2
Control	1	2
Control	0.882	2
Control	0.816	2
Control	0.992	2
Control	0.99	2
Control	0.502	2
Control	0.938	2
Control	0.994	2
Control	0.996	2
Control	0.866	2
Control	0.99	2
Control	0.998	2
Control	0.994	2
Control	0.932	2
Control	0.974	2
Control	0.936	2
Control	0.984	2
Control	0.876	2
Control	1	2
Control	1	2
Control	0.964	2
Control	0.904	2
Control	0.948	2
Control	0.988	2
Control	0.742	2
Control	0.922	2
Control	1	2
Control	0.98	2
Control	0.994	2
Control	0.99	2
Control	0.982	2
Control	0.914	2
Control	1	2
Control	0.994	2
Case	0.994	2
Control	0.998	2
Control	0.974	2
Control	0.972	2
Control	1	2
Control	0.976	2
Control	0.916	2
Control	0.996	2
Control	0.726	2
Control	0.806	2
Control	0.96	2
Control	0.854	2
Control	1	2
Control	0.996	2
Control	0.922	2
Control	0.852	2
Control	0.996	2
Control	0.848	2
Control	0.982	2
Control	1	2
Control	1	2
Control	0.996	2
Control	0.964	2
Control	0.99	2
Control	0.966	2
Control	1	2
Control	0.988	2
Case	1	2
Control	1	2
Control	0.99	2
Control	0.98	2
Control	0.984	2
Control	0.928	2
Control	0.994	2
Control	0.974	2
Control	1	2
Control	0.988	2
Control	0.976	2
Control	0.982	2
Control	0.986	2
Control	1	2
Control	0.964	2
Control	0.678	2
Control	0.896	2
Control	0.994	2
Control	0.696	2
Control	0.854	2
Control	0.974	2
Control	0.942	2
Case	0.846	2
Case	1	2
Control	0.996	2
Control	0.93	2
Control	0.996	2
Case	0.96	2
Control	0.992	3
Control	0.966	3
Control	0.982	3
Control	0.81	3
Control	0.984	3
Control	0.97	3
Control	0.946	3
Control	0.898	3
Control	0.878	3
Control	0.974	3
Control	0.98	3
Control	0.944	3
Control	0.924	3
Control	0.982	3
Control	0.764	3
Case	0.916	3
Control	0.998	3
Control	0.998	3
Control	0.68	3
Control	0.998	3
Control	0.972	3
Control	0.964	3
Control	0.998	3
Control	0.998	3
Control	0.986	3
Control	0.988	3
Control	0.954	3
Control	1	3
Control	0.912	3
Control	0.896	3
Control	1	3
Control	0.898	3
Control	0.518	3
Control	0.804	3
Control	1	3
Control	0.95	3
Control	0.94	3
Control	0.922	3
Control	0.992	3
Control	0.944	3
Control	0.948	3
Control	0.996	3
Control	0.994	3
Control	0.958	3
Control	0.876	3
Control	0.922	3
Control	0.984	3
Control	0.992	3
Control	0.818	3
Control	0.998	3
Control	0.99	3
Control	0.852	3
Control	0.998	3
Control	0.62	3
Control	0.858	3
Control	0.558	3
Control	0.986	3
Control	0.936	3
Control	0.93	3
Control	0.998	3
Control	0.974	3
Control	0.998	3
Control	0.97	3
Control	0.954	3
Control	0.9	3
Control	0.976	3
Control	0.896	3
Control	0.834	3
Control	0.97	3
Control	0.982	3
Control	0.986	3
Control	0.99	3
Control	0.988	3
Control	0.63	3
Control	0.976	3
Control	0.976	3
Control	0.848	3
Control	0.998	3
Control	0.836	3
Control	0.988	3
Control	0.986	3
Control	0.984	3
Control	0.952	3
Control	0.932	3
Control	0.942	3
Control	0.914	3
Control	0.994	3
Control	0.984	3
Control	0.984	3
Control	0.986	3
Control	0.998	3
Control	0.87	3
Control	0.936	3
Control	0.984	3
Control	0.978	3
Control	0.96	3
Control	0.974	3
Control	0.988	3
Control	0.996	3
Control	0.982	3
Control	0.978	3
Control	0.554	3
Control	0.706	3
Control	0.986	3
Control	1	3
Control	0.954	3
Control	0.93	3
Control	0.98	3
Control	0.886	3
Control	0.996	3
Control	0.904	3
Control	0.996	3
Control	0.994	3
Control	0.988	3
Control	0.996	3
Control	0.948	3
Control	0.912	3
Control	1	3
Control	0.858	3
Control	0.998	3
Control	0.942	3
Control	0.998	3
Control	0.664	3
Case	1	3
Control	0.51	3
Control	0.976	3
Control	0.944	3
Control	0.992	3
Control	0.966	3
Control	0.844	3
Control	0.952	3
Control	1	3
Control	0.978	3
Control	0.994	3
Control	0.992	3
Control	0.998	3
Control	0.984	3
Control	0.998	3
Case	0.944	3
Case	1	3
Case	0.956	3
Case	0.876	3
Control	0.964	3
Control	0.968	4
Control	0.884	4
Control	0.986	4
Control	0.99	4
Control	0.99	4
Control	0.988	4
Control	0.962	4
Control	0.986	4
Control	0.954	4
Control	0.98	4
Control	0.904	4
Control	1	4
Control	0.988	4
Control	0.81	4
Case	0.98	4
Control	0.996	4
Control	0.976	4
Control	0.97	4
Control	0.964	4
Control	0.994	4
Control	0.858	4
Control	0.972	4
Control	0.95	4
Control	0.968	4
Control	0.996	4
Control	0.982	4
Control	0.952	4
Control	0.942	4
Control	0.922	4
Control	0.948	4
Control	0.984	4
Control	0.92	4
Control	0.996	4
Control	0.996	4
Control	0.966	4
Control	1	4
Control	0.932	4
Control	0.978	4
Control	0.988	4
Control	0.962	4
Control	0.932	4
Control	0.968	4
Control	0.896	4
Control	0.984	4
Control	0.974	4
Control	0.986	4
Control	0.988	4
Control	0.916	4
Control	0.916	4
Control	0.954	4
Control	0.994	4
Control	0.904	4
Control	0.938	4
Control	0.998	4
Control	0.93	4
Control	0.992	4
Control	0.98	4
Control	0.898	4
Control	0.876	4
Control	0.988	4
Control	0.94	4
Control	0.994	4
Control	0.964	4
Control	0.998	4
Control	0.982	4
Case	0.812	4
Control	0.984	4
Control	0.924	4
Control	0.842	4
Control	0.93	4
Control	0.938	4
Control	0.978	4
Case	0.808	4
Control	0.972	4
Control	0.992	4
Control	0.986	4
Control	0.996	4
Control	0.952	4
Control	0.986	4
Control	0.938	4
Control	0.986	4
Control	0.942	4
Control	0.896	4
Control	0.996	4
Control	0.966	4
Control	0.984	4
Control	0.986	4
Control	0.9	4
Control	0.98	4
Control	0.964	4
Control	0.844	4
Control	0.912	4
Case	0.998	4
Control	0.938	4
Control	0.994	4
Control	0.9	4
Control	0.952	4
Control	0.966	4
Control	0.996	4
Control	0.97	4
Control	0.884	4
Control	0.958	4
Control	0.894	4
Control	0.934	4
Control	0.91	4
Control	0.858	4
Control	0.818	4
Control	0.986	4
Control	0.94	4
Control	0.878	4
Control	0.964	4
Control	0.952	4
Control	0.998	4
Control	0.974	4
Control	0.938	4
Control	0.878	4
Control	0.98	4
Control	0.994	4
Control	0.978	4
Control	0.91	4
Control	0.978	4
Control	0.998	4
Control	0.968	4
Control	0.992	4
Control	0.814	4
Control	0.958	4
Control	0.95	4
Control	0.99	4
Control	0.956	4
Control	0.986	4
Control	0.948	4
Control	0.942	4
Control	0.922	4
Control	0.748	4
Control	0.956	4
Control	0.998	4
Control	1	4
Control	0.842	4
Control	1	4
Case	0.908	4
Control	0.994	4
Case	0.884	4
Control	0.844	4
Control	0.982	5
Control	1	5
Control	0.996	5
Control	0.738	5
Control	0.946	5
Control	1	5
Control	0.986	5
Control	1	5
Control	0.626	5
Control	0.884	5
Control	0.994	5
Control	0.996	5
Control	0.918	5
Control	0.898	5
Control	0.998	5
Control	0.986	5
Control	0.938	5
Control	0.998	5
Control	0.992	5
Control	0.99	5
Control	1	5
Control	0.95	5
Control	0.778	5
Control	0.966	5
Control	0.998	5
Control	0.968	5
Control	0.994	5
Control	0.992	5
Control	0.948	5
Control	1	5
Control	0.768	5
Control	0.998	5
Control	1	5
Control	0.94	5
Control	1	5
Control	0.96	5
Control	0.976	5
Control	0.998	5
Control	0.998	5
Control	0.974	5
Control	0.992	5
Control	0.99	5
Control	0.964	5
Control	0.988	5
Control	0.9	5
Control	0.638	5
Control	0.964	5
Control	1	5
Control	0.998	5
Control	0.804	5
Control	0.802	5
Control	0.752	5
Control	0.984	5
Control	0.994	5
Control	0.514	5
Control	0.986	5
Control	0.986	5
Control	0.946	5
Control	0.996	5
Control	0.958	5
Control	1	5
Control	0.98	5
Control	1	5
Control	1	5
Control	0.91	5
Control	0.894	5
Control	0.992	5
Control	1	5
Control	0.81	5
Control	0.882	5
Control	1	5
Control	0.974	5
Control	1	5
Control	0.956	5
Control	0.944	5
Control	0.768	5
Control	0.988	5
Control	1	5
Control	1	5
Control	1	5
Control	0.942	5
Case	1	5
Control	0.996	5
Control	0.962	5
Control	0.994	5
Control	0.94	5
Control	0.856	5
Control	1	5
Control	0.95	5
Control	1	5
Control	1	5
Control	0.664	5
Control	0.95	5
Control	0.992	5
Control	0.998	5
Control	1	5
Control	1	5
Control	1	5
Control	1	5
Control	1	5
Control	0.986	5
Control	1	5
Control	0.986	5
Case	0.914	5
Control	0.998	5
Control	0.962	5
Control	1	5
