observed	prediction	iterations
Case	0.72	1
Case	0.798	1
Control	0.884	1
Control	0.88	1
Case	0.89	1
Case	0.764	1
Control	0.846	1
Case	0.68	1
Control	0.806	1
Control	0.938	1
Control	0.8	1
Case	0.88	1
Control	0.616	1
Control	0.836	1
Control	0.902	1
Control	0.716	1
Case	0.864	1
Control	0.65	1
Control	0.744	1
Control	0.654	1
Case	0.758	1
Control	0.8	1
Case	0.614	1
Control	0.832	1
Control	0.652	1
Control	0.814	1
Control	0.638	1
Case	0.616	1
Control	0.84	1
Case	0.544	1
Control	0.812	1
Control	0.782	1
Control	0.738	1
Control	0.614	1
Case	0.636	1
Control	0.762	1
Control	0.77	1
Case	0.718	1
Control	0.828	1
Control	0.886	1
Control	0.836	1
Control	0.858	1
Control	0.83	1
Control	0.758	1
Case	0.78	1
Control	0.774	1
Case	0.906	1
Case	0.828	1
Control	0.764	1
Control	0.876	1
Case	0.892	1
Control	0.762	1
Control	0.614	1
Control	0.714	1
Control	0.89	1
Control	0.834	1
Case	0.504	1
Control	0.918	1
Control	0.558	1
Control	0.856	1
Control	0.888	1
Control	0.866	1
Control	0.882	1
Control	0.618	1
Control	0.846	1
Case	0.804	1
Case	0.628	1
Control	0.644	1
Control	0.604	1
Control	0.904	1
Control	0.878	1
Control	0.654	1
Control	0.794	1
Control	0.544	1
Control	0.888	1
Control	0.666	1
Case	0.896	1
Control	0.63	1
Case	0.62	1
Control	0.822	1
Control	0.806	1
Case	0.776	1
Control	0.824	1
Control	0.872	1
Control	0.822	1
Control	0.638	1
Control	0.75	1
Control	0.648	1
Control	0.874	1
Control	0.896	1
Case	0.708	1
Case	0.522	1
Control	0.812	1
Control	0.768	1
Control	0.686	1
Control	0.748	1
Case	0.742	1
Case	0.566	1
Control	0.81	1
Control	0.824	1
Case	0.616	1
Control	0.808	1
Control	0.712	1
Case	0.51	1
Control	0.762	1
Case	0.534	1
Control	0.886	1
Case	0.502	1
Case	0.492	1
Control	0.728	1
Control	0.85	1
Control	0.694	1
Control	0.886	1
Control	0.592	1
Control	0.65	1
Case	0.612	1
Control	0.862	1
Control	0.71	1
Control	0.698	1
Control	0.72	1
Case	0.51	1
Control	0.89	1
Control	0.626	1
Control	0.852	1
Control	0.718	1
Control	0.824	1
Control	0.806	1
Case	0.782	1
Case	0.868	1
Control	0.882	1
Control	0.82	1
Control	0.524	1
Control	0.854	1
Control	0.828	1
Control	0.728	1
Control	0.754	1
Case	0.882	1
Case	0.766	1
Case	0.694	1
Control	0.83	1
Control	0.874	1
Control	0.898	1
Control	0.87	1
Case	0.768	1
Case	0.808	1
Control	0.912	1
Control	0.768	1
Control	0.75	1
Control	0.668	1
Control	0.842	2
Control	0.882	2
Case	0.782	2
Control	0.736	2
Control	0.668	2
Case	0.782	2
Control	0.814	2
Control	0.56	2
Control	0.85	2
Case	0.73	2
Control	0.784	2
Control	0.568	2
Control	0.74	2
Control	0.864	2
Control	0.87	2
Control	0.714	2
Control	0.354	2
Control	0.67	2
Case	0.59	2
Control	0.762	2
Control	0.872	2
Control	0.664	2
Control	0.792	2
Control	0.822	2
Control	0.58	2
Case	0.534	2
Control	0.534	2
Control	0.766	2
Control	0.866	2
Control	0.706	2
Control	0.744	2
Control	0.766	2
Control	0.766	2
Case	0.764	2
Control	0.718	2
Control	0.62	2
Control	0.718	2
Control	0.734	2
Control	0.692	2
Control	0.724	2
Control	0.66	2
Control	0.858	2
Case	0.75	2
Control	0.68	2
Control	0.69	2
Case	0.704	2
Control	0.828	2
Control	0.772	2
Case	0.392	2
Control	0.428	2
Case	0.53	2
Control	0.654	2
Case	0.71	2
Control	0.792	2
Control	0.704	2
Control	0.83	2
Control	0.678	2
Control	0.776	2
Case	0.41	2
Case	0.416	2
Control	0.836	2
Control	0.862	2
Case	0.59	2
Control	0.574	2
Control	0.816	2
Control	0.872	2
Case	0.552	2
Case	0.598	2
Control	0.852	2
Control	0.868	2
Control	0.686	2
Control	0.74	2
Control	0.808	2
Control	0.874	2
Control	0.762	2
Case	0.71	2
Control	0.654	2
Control	0.598	2
Control	0.784	2
Case	0.576	2
Case	0.748	2
Control	0.328	2
Control	0.88	2
Control	0.842	2
Case	0.464	2
Control	0.83	2
Control	0.558	2
Case	0.622	2
Case	0.708	2
Control	0.348	2
Control	0.766	2
Control	0.826	2
Control	0.664	2
Case	0.522	2
Control	0.734	2
Case	0.694	2
Control	0.8	2
Control	0.716	2
Case	0.538	2
Case	0.402	2
Control	0.686	2
Case	0.902	2
Case	0.436	2
Control	0.62	2
Case	0.49	2
Control	0.666	2
Control	0.676	2
Case	0.436	2
Control	0.62	2
Control	0.746	2
Control	0.85	2
Control	0.716	2
Control	0.566	2
Control	0.834	2
Case	0.58	2
Control	0.626	2
Control	0.814	2
Control	0.808	2
Control	0.872	2
Control	0.69	2
Control	0.788	2
Control	0.648	2
Case	0.59	2
Case	0.386	2
Control	0.69	2
Control	0.508	2
Control	0.69	2
Control	0.808	2
Case	0.898	2
Control	0.872	2
Control	0.612	2
Control	0.728	2
Case	0.552	2
Case	0.542	2
Control	0.622	2
Control	0.858	2
Case	0.49	2
Case	0.72	2
Control	0.714	2
Case	0.572	2
Control	0.776	2
Control	0.912	2
Control	0.7	2
Control	0.764	2
Case	0.658	2
Control	0.694	2
Control	0.586	2
Case	0.602	2
Control	0.698	2
Case	0.828	3
Control	0.598	3
Control	0.794	3
Control	0.886	3
Control	0.872	3
Control	0.838	3
Control	0.692	3
Case	0.772	3
Control	0.834	3
Control	0.798	3
Control	0.846	3
Control	0.702	3
Control	0.796	3
Control	0.752	3
Case	0.73	3
Control	0.62	3
Case	0.528	3
Control	0.816	3
Case	0.638	3
Case	0.664	3
Control	0.762	3
Control	0.734	3
Control	0.712	3
Control	0.708	3
Control	0.808	3
Control	0.84	3
Case	0.56	3
Case	0.618	3
Control	0.842	3
Control	0.9	3
Case	0.748	3
Control	0.818	3
Control	0.798	3
Control	0.66	3
Control	0.868	3
Control	0.868	3
Control	0.788	3
Control	0.738	3
Control	0.822	3
Case	0.792	3
Control	0.794	3
Case	0.91	3
Control	0.814	3
Control	0.822	3
Case	0.646	3
Case	0.556	3
Control	0.818	3
Control	0.826	3
Case	0.686	3
Control	0.818	3
Control	0.818	3
Control	0.814	3
Case	0.608	3
Control	0.864	3
Control	0.842	3
Control	0.846	3
Control	0.732	3
Case	0.698	3
Case	0.736	3
Control	0.828	3
Control	0.798	3
Control	0.832	3
Case	0.578	3
Control	0.812	3
Control	0.67	3
Control	0.426	3
Case	0.614	3
Control	0.774	3
Control	0.65	3
Control	0.798	3
Control	0.89	3
Control	0.568	3
Control	0.576	3
Case	0.51	3
Control	0.886	3
Control	0.808	3
Control	0.854	3
Control	0.844	3
Case	0.694	3
Control	0.684	3
Control	0.86	3
Control	0.876	3
Case	0.586	3
Case	0.75	3
Case	0.824	3
Control	0.758	3
Case	0.542	3
Control	0.666	3
Control	0.85	3
Control	0.868	3
Control	0.826	3
Control	0.814	3
Control	0.844	3
Control	0.704	3
Control	0.856	3
Control	0.68	3
Control	0.808	3
Control	0.91	3
Case	0.544	3
Case	0.744	3
Control	0.744	3
Case	0.716	3
Control	0.792	3
Control	0.842	3
Control	0.808	3
Control	0.736	3
Control	0.712	3
Control	0.776	3
Control	0.754	3
Control	0.722	3
Control	0.792	3
Control	0.84	3
Control	0.74	3
Case	0.554	3
Control	0.818	3
Case	0.498	3
Control	0.652	3
Control	0.646	3
Control	0.716	3
Control	0.832	3
Case	0.782	3
Control	0.848	3
Control	0.864	3
Control	0.618	3
Control	0.772	3
Case	0.654	3
Control	0.748	3
Control	0.846	3
Case	0.702	3
Case	0.73	3
Control	0.744	3
Control	0.842	3
Control	0.86	3
Control	0.886	3
Case	0.652	3
Control	0.796	3
Control	0.774	3
Control	0.794	3
Case	0.778	3
Control	0.856	3
Case	0.618	3
Control	0.89	3
Control	0.872	3
Case	0.518	3
Case	0.808	3
Case	0.87	3
Control	0.8	3
Case	0.808	3
Control	0.808	3
Control	0.9	4
Control	0.666	4
Control	0.822	4
Control	0.894	4
Case	0.756	4
Control	0.876	4
Control	0.846	4
Case	0.74	4
Case	0.74	4
Control	0.712	4
Control	0.886	4
Case	0.854	4
Case	0.61	4
Control	0.854	4
Control	0.764	4
Case	0.738	4
Case	0.574	4
Control	0.816	4
Case	0.588	4
Control	0.77	4
Control	0.83	4
Control	0.82	4
Control	0.896	4
Control	0.516	4
Case	0.494	4
Control	0.784	4
Control	0.84	4
Case	0.588	4
Control	0.86	4
Case	0.648	4
Control	0.852	4
Control	0.838	4
Control	0.754	4
Control	0.806	4
Control	0.69	4
Control	0.82	4
Control	0.81	4
Control	0.83	4
Control	0.838	4
Control	0.86	4
Control	0.812	4
Control	0.88	4
Control	0.824	4
Control	0.606	4
Control	0.724	4
Control	0.888	4
Control	0.684	4
Control	0.858	4
Control	0.596	4
Control	0.762	4
Control	0.522	4
Control	0.784	4
Control	0.85	4
Control	0.864	4
Control	0.726	4
Case	0.69	4
Control	0.696	4
Control	0.848	4
Control	0.882	4
Case	0.73	4
Case	0.804	4
Control	0.776	4
Control	0.81	4
